dstport,protocol,tag
47767,tcp,tag_510
18471,udp,tag_485
65327,icmp,tag_692
8692,udp,tag_14
5035,tcp,tag_153
59867,udp,tag_834
1351,udp,tag_532
32768,icmp,tag_652
35181,tcp,tag_105
27292,icmp,tag_896
11425,udp,tag_5
65180,udp,tag_492
63018,udp,tag_964
42088,udp,tag_783
36822,udp,tag_553
16647,tcp,tag_354
64125,udp,tag_169
42361,icmp,tag_784
64482,tcp,tag_778
52320,icmp,tag_658
1979,udp,tag_745
40248,tcp,tag_894
11343,udp,tag_918
56104,icmp,tag_121
19315,icmp,tag_859
25073,tcp,tag_259
28179,tcp,tag_16
47011,udp,tag_296
43337,tcp,tag_778
4184,udp,tag_564
60304,icmp,tag_335
32869,icmp,tag_731
30900,udp,tag_422
28589,icmp,tag_804
40914,tcp,tag_230
64967,tcp,tag_13
26827,icmp,tag_31
614,tcp,tag_678
3212,tcp,tag_485
10229,icmp,tag_690
18294,tcp,tag_901
61450,icmp,tag_390
62659,icmp,tag_287
55260,tcp,tag_427
20100,tcp,tag_917
42391,udp,tag_473
44084,icmp,tag_789
36064,icmp,tag_60
43591,udp,tag_619
26771,udp,tag_592
23268,icmp,tag_903
26299,udp,tag_959
6939,udp,tag_124
4106,udp,tag_263
51197,icmp,tag_16
55028,tcp,tag_900
5584,tcp,tag_984
22820,tcp,tag_45
19124,tcp,tag_294
16964,tcp,tag_579
3385,udp,tag_395
30803,icmp,tag_299
52679,icmp,tag_432
25424,tcp,tag_355
13991,icmp,tag_193
14643,udp,tag_770
62928,udp,tag_913
7693,tcp,tag_856
39968,udp,tag_749
17318,icmp,tag_133
15119,tcp,tag_529
12369,udp,tag_10
53434,udp,tag_486
20963,tcp,tag_598
34829,icmp,tag_607
61359,tcp,tag_50
420,tcp,tag_746
39836,udp,tag_961
57247,udp,tag_451
12149,udp,tag_934
12549,tcp,tag_165
61694,udp,tag_950
54922,icmp,tag_83
54848,icmp,tag_825
39234,udp,tag_236
26097,udp,tag_614
62305,tcp,tag_524
52994,udp,tag_841
18969,tcp,tag_33
27126,tcp,tag_507
54754,udp,tag_552
52151,tcp,tag_5
28179,icmp,tag_67
17811,udp,tag_45
13248,tcp,tag_200
18673,tcp,tag_496
58925,icmp,tag_901
37928,icmp,tag_957
843,tcp,tag_488
32481,icmp,tag_664
54946,udp,tag_358
13469,tcp,tag_899
8071,udp,tag_335
7167,udp,tag_724
47318,udp,tag_288
55660,tcp,tag_239
11455,tcp,tag_621
7910,icmp,tag_257
3269,tcp,tag_22
4101,udp,tag_812
1304,udp,tag_17
35319,icmp,tag_592
64045,udp,tag_148
21886,tcp,tag_315
26443,icmp,tag_33
17603,tcp,tag_29
18203,icmp,tag_667
64154,icmp,tag_534
54798,icmp,tag_772
46307,udp,tag_346
65461,tcp,tag_850
31948,tcp,tag_787
6707,tcp,tag_365
52096,udp,tag_659
44042,tcp,tag_393
9092,tcp,tag_110
48151,icmp,tag_701
48070,icmp,tag_438
29205,tcp,tag_727
62519,tcp,tag_131
15247,udp,tag_458
56572,tcp,tag_789
40525,udp,tag_244
24771,icmp,tag_121
15075,udp,tag_144
22566,tcp,tag_470
25092,udp,tag_456
44638,tcp,tag_332
28554,tcp,tag_409
8821,tcp,tag_76
49092,icmp,tag_554
52286,tcp,tag_405
53174,tcp,tag_745
37267,icmp,tag_24
46382,tcp,tag_234
65220,tcp,tag_77
776,icmp,tag_789
64883,udp,tag_705
10976,udp,tag_363
52795,icmp,tag_844
23404,icmp,tag_928
1476,icmp,tag_191
21726,icmp,tag_616
49684,tcp,tag_451
52809,tcp,tag_821
6833,tcp,tag_948
54831,udp,tag_385
59453,udp,tag_254
46006,udp,tag_304
56496,tcp,tag_72
50326,icmp,tag_662
15411,udp,tag_2
34084,icmp,tag_308
49542,icmp,tag_497
27468,icmp,tag_877
30404,icmp,tag_257
33112,tcp,tag_438
50061,udp,tag_924
44261,tcp,tag_429
64970,udp,tag_504
57241,icmp,tag_479
42459,tcp,tag_41
3834,udp,tag_127
20317,icmp,tag_822
59579,udp,tag_628
47374,icmp,tag_679
54570,tcp,tag_820
12135,icmp,tag_734
33802,tcp,tag_736
8859,tcp,tag_548
55781,tcp,tag_431
31650,tcp,tag_817
51111,udp,tag_789
20836,icmp,tag_575
15017,udp,tag_135
8549,icmp,tag_930
27257,udp,tag_476
49103,udp,tag_704
48457,tcp,tag_827
58932,tcp,tag_81
23900,udp,tag_837
55936,tcp,tag_26
51080,udp,tag_517
12253,udp,tag_84
48170,tcp,tag_343
1006,icmp,tag_181
30678,tcp,tag_908
37360,icmp,tag_251
7691,udp,tag_896
16568,tcp,tag_438
30200,udp,tag_294
12551,tcp,tag_781
5074,tcp,tag_763
38090,tcp,tag_147
22034,tcp,tag_716
18880,udp,tag_476
3866,udp,tag_49
40912,tcp,tag_241
55260,icmp,tag_682
11169,tcp,tag_310
11152,udp,tag_91
40392,udp,tag_119
20025,udp,tag_216
9241,icmp,tag_463
968,tcp,tag_545
27753,tcp,tag_97
14275,udp,tag_108
1517,icmp,tag_162
48673,tcp,tag_24
51148,tcp,tag_720
34034,tcp,tag_346
39818,udp,tag_624
48531,icmp,tag_560
48947,udp,tag_813
41478,udp,tag_627
39339,udp,tag_899
3422,udp,tag_396
16129,udp,tag_848
63801,tcp,tag_68
10402,icmp,tag_994
11311,icmp,tag_145
62587,icmp,tag_496
6494,udp,tag_868
19634,tcp,tag_567
50724,tcp,tag_509
55705,icmp,tag_444
47446,udp,tag_225
13986,icmp,tag_555
25202,tcp,tag_989
29094,icmp,tag_995
8021,icmp,tag_93
55942,icmp,tag_164
43658,icmp,tag_332
7360,udp,tag_904
11001,tcp,tag_434
26917,tcp,tag_128
46135,icmp,tag_367
52449,icmp,tag_824
27575,tcp,tag_899
60478,udp,tag_4
41861,icmp,tag_461
58958,tcp,tag_782
1018,tcp,tag_688
5339,icmp,tag_665
44585,icmp,tag_364
23358,udp,tag_258
52895,tcp,tag_33
59394,udp,tag_626
63555,tcp,tag_800
552,icmp,tag_597
7288,udp,tag_614
13475,icmp,tag_341
48496,tcp,tag_644
30255,tcp,tag_966
57717,udp,tag_579
33444,tcp,tag_579
29219,udp,tag_783
5272,udp,tag_97
25812,icmp,tag_682
14823,tcp,tag_973
5092,icmp,tag_954
6149,udp,tag_517
57593,icmp,tag_676
40660,icmp,tag_124
63738,udp,tag_91
24748,tcp,tag_740
48963,udp,tag_812
3148,udp,tag_702
29289,tcp,tag_344
1309,udp,tag_386
45474,tcp,tag_657
43743,udp,tag_45
10511,icmp,tag_773
31541,tcp,tag_152
43171,icmp,tag_199
14490,icmp,tag_188
9711,tcp,tag_394
31332,udp,tag_974
21746,udp,tag_282
2350,tcp,tag_604
15227,udp,tag_448
46140,udp,tag_966
7050,icmp,tag_489
23383,tcp,tag_782
19058,udp,tag_986
19207,tcp,tag_144
40079,udp,tag_419
20518,icmp,tag_524
19156,udp,tag_917
56604,tcp,tag_833
45464,tcp,tag_832
34065,udp,tag_741
349,tcp,tag_246
55961,udp,tag_481
25450,udp,tag_142
28821,udp,tag_376
10605,tcp,tag_329
55037,udp,tag_658
14578,udp,tag_226
18144,tcp,tag_905
43166,tcp,tag_394
20305,udp,tag_62
13077,udp,tag_246
27517,icmp,tag_635
6750,tcp,tag_982
54395,icmp,tag_899
21603,tcp,tag_818
9447,icmp,tag_840
57075,udp,tag_321
7894,icmp,tag_881
19265,icmp,tag_248
48401,udp,tag_255
41204,tcp,tag_668
6755,tcp,tag_103
19428,udp,tag_575
36931,tcp,tag_798
44271,tcp,tag_906
64129,tcp,tag_154
23362,icmp,tag_756
50743,icmp,tag_840
20537,tcp,tag_702
56243,udp,tag_59
12086,tcp,tag_870
51953,udp,tag_314
37786,tcp,tag_335
25263,tcp,tag_384
5709,tcp,tag_899
55433,udp,tag_193
29321,tcp,tag_399
21124,udp,tag_179
26253,tcp,tag_883
45074,icmp,tag_894
50234,icmp,tag_19
10159,tcp,tag_388
21258,udp,tag_148
24332,icmp,tag_740
51538,icmp,tag_337
39457,icmp,tag_970
3418,udp,tag_427
10797,tcp,tag_675
11961,tcp,tag_453
36659,tcp,tag_476
7822,icmp,tag_643
14358,udp,tag_947
15468,udp,tag_858
14163,icmp,tag_250
12231,icmp,tag_255
18277,udp,tag_867
43930,tcp,tag_935
39102,udp,tag_998
30751,icmp,tag_53
9264,udp,tag_299
52892,udp,tag_312
50955,udp,tag_2
14336,tcp,tag_907
58121,udp,tag_258
12282,icmp,tag_805
62208,icmp,tag_279
10132,icmp,tag_673
25429,icmp,tag_4
16663,udp,tag_962
27396,tcp,tag_743
49425,udp,tag_311
15764,tcp,tag_446
50072,tcp,tag_838
38582,icmp,tag_918
51201,icmp,tag_407
1391,icmp,tag_235
45026,tcp,tag_514
16433,tcp,tag_414
15252,tcp,tag_69
3503,tcp,tag_370
48412,icmp,tag_703
17186,tcp,tag_648
31541,icmp,tag_559
8468,icmp,tag_332
4154,tcp,tag_362
11669,icmp,tag_280
64913,tcp,tag_857
5118,udp,tag_683
64526,tcp,tag_540
25484,icmp,tag_408
45290,tcp,tag_634
56955,icmp,tag_700
5249,tcp,tag_848
36250,udp,tag_546
42930,icmp,tag_657
3067,icmp,tag_579
6362,udp,tag_64
580,udp,tag_189
52632,tcp,tag_686
54286,tcp,tag_405
55557,udp,tag_331
55546,icmp,tag_545
5076,udp,tag_307
7598,tcp,tag_45
12231,icmp,tag_564
44143,icmp,tag_231
36934,tcp,tag_856
16789,icmp,tag_891
62501,tcp,tag_122
11144,udp,tag_716
48135,udp,tag_91
56640,tcp,tag_581
61801,tcp,tag_160
30521,tcp,tag_861
